FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,ACC,AUC
0,RF,0.96,0.98,0.02,0.97,0.00,0.00,0.9818278995189738,0.5
0,KNN,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.4999455634186173
0,DTREE,0.97,0.96,0.06,0.96,0.21,0.05,0.959166221272047,0.5115533638605143
0,GNB,0.98,0.12,0.96,0.18,0.32,0.09,0.11801175841795832,0.5392968074546095
0,LRG,0.96,0.98,0.02,0.97,0.00,0.00,0.9818278995189738,0.5
0,ABC,0.96,0.98,0.02,0.97,0.00,0.00,0.98161411010155,0.49989112683723463
0,MLP,0.96,0.98,0.02,0.97,0.00,0.00,0.9818278995189738,0.5
0,KDA,0.97,0.20,0.89,0.31,0.41,0.16,0.19893105291288082,0.5458644208908386
0,SVM,0.96,0.98,0.02,0.97,0.00,0.00,0.9818278995189738,0.5
0,SGD,0.96,0.98,0.02,0.97,0.00,0.00,0.9818278995189738,0.5
1,RF,0.96,0.98,0.02,0.97,0.00,0.00,0.981507215392838,0.5
1,KNN,0.98,0.98,0.03,0.97,0.11,0.01,0.98161411010155,0.505725892453569
1,DTREE,0.96,0.96,0.07,0.96,0.24,0.06,0.959166221272047,0.516976227678431
1,GNB,0.97,0.12,0.92,0.18,0.31,0.09,0.11662212720470337,0.5187961996517438
1,LRG,0.96,0.98,0.02,0.97,0.00,0.00,0.981507215392838,0.5
1,ABC,0.96,0.98,0.02,0.97,0.00,0.00,0.981507215392838,0.5
1,MLP,0.96,0.98,0.02,0.97,0.00,0.00,0.981507215392838,0.5
1,KDA,0.97,0.21,0.84,0.33,0.41,0.16,0.21154462854088724,0.5246158921136226
1,SVM,0.96,0.98,0.02,0.97,0.00,0.00,0.981507215392838,0.5
1,SGD,0.96,0.98,0.02,0.97,0.00,0.00,0.981507215392838,0.5
2,RF,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
2,KNN,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
2,DTREE,0.96,0.96,0.06,0.96,0.19,0.04,0.9599144842330305,0.5079904801157256
2,GNB,0.97,0.13,0.91,0.21,0.33,0.10,0.13329770176376268,0.5214399431069735
2,LRG,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
2,ABC,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
2,MLP,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
2,KDA,0.97,0.21,0.87,0.32,0.42,0.16,0.2084446819882416,0.5416515140495066
2,SVM,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
2,SGD,0.96,0.98,0.02,0.97,0.00,0.00,0.9797969000534473,0.5
3,RF,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
3,KNN,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
3,DTREE,0.96,0.96,0.04,0.96,0.14,0.02,0.9583110636023516,0.4994059201500686
3,GNB,0.97,0.13,0.95,0.21,0.34,0.10,0.1339390700160342,0.5398021833673974
3,LRG,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
3,ABC,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
3,MLP,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
3,KDA,0.97,0.19,0.89,0.30,0.40,0.15,0.19433458043826832,0.5444232904965889
3,SVM,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
3,SGD,0.96,0.98,0.02,0.97,0.00,0.00,0.9800106894708712,0.5
4,RF,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.5
4,KNN,0.96,0.98,0.02,0.97,0.00,0.00,0.98161411010155,0.4999455574912892
4,DTREE,0.97,0.96,0.08,0.96,0.25,0.07,0.9598075895243185,0.5204041608085255
4,GNB,0.97,0.12,0.93,0.19,0.32,0.09,0.12164617851416355,0.5268200990280579
4,LRG,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.5
4,ABC,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.5
4,MLP,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.5
4,KDA,0.97,0.20,0.89,0.31,0.41,0.16,0.19957242116515234,0.5435524150824215
4,SVM,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.5
4,SGD,0.96,0.98,0.02,0.97,0.00,0.00,0.9817210048102619,0.5
