FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,ACC,AUC
0,BBag,0.90,0.66,0.66,0.74,0.66,0.44,0.6604,0.6616476622009303
0,EEC,0.90,0.65,0.68,0.73,0.66,0.44,0.6457,0.661041485897133
0,RUSBOOST,0.90,0.68,0.64,0.75,0.66,0.43,0.677,0.6577755050065511
1,BBag,0.90,0.66,0.67,0.74,0.67,0.44,0.6579,0.6653551613347121
1,EEC,0.90,0.65,0.68,0.73,0.66,0.44,0.6455,0.6628853650222485
1,RUSBOOST,0.90,0.68,0.65,0.75,0.66,0.44,0.6767,0.6628099949810405
2,BBag,0.91,0.66,0.68,0.74,0.67,0.45,0.6578,0.6679747861003847
2,EEC,0.90,0.64,0.68,0.73,0.66,0.43,0.6416,0.658605268698844
2,RUSBOOST,0.90,0.67,0.65,0.75,0.66,0.44,0.6711,0.6608013821708042
3,BBag,0.91,0.66,0.70,0.74,0.68,0.45,0.6551,0.6762598720013475
3,EEC,0.91,0.64,0.70,0.73,0.67,0.44,0.6394,0.6697263420759267
3,RUSBOOST,0.90,0.67,0.66,0.75,0.67,0.44,0.6742,0.6653789974852538
4,BBag,0.90,0.65,0.68,0.73,0.66,0.44,0.6496,0.6624668215910217
4,EEC,0.90,0.64,0.69,0.72,0.66,0.44,0.6351,0.6621573400002201
4,RUSBOOST,0.90,0.67,0.65,0.75,0.66,0.43,0.6677,0.6572034318314481
FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,ACC,AUC
0,BBag,0.89,0.62,0.64,0.71,0.63,0.40,0.6244,0.6307043918484825
0,EEC,0.90,0.61,0.65,0.71,0.63,0.40,0.6135,0.6329640112925904
0,RUSBOOST,0.90,0.64,0.65,0.72,0.64,0.41,0.6356,0.6448906167971777
1,BBag,0.89,0.62,0.59,0.71,0.61,0.37,0.623,0.6070169467946779
1,EEC,0.89,0.62,0.58,0.71,0.60,0.36,0.6154,0.5990073896322932
1,RUSBOOST,0.89,0.62,0.58,0.71,0.60,0.36,0.6233,0.6006442622094987
2,BBag,0.90,0.62,0.63,0.71,0.62,0.39,0.62,0.6225615500838886
2,EEC,0.90,0.63,0.61,0.72,0.62,0.38,0.6252,0.6167293653132673
2,RUSBOOST,0.90,0.63,0.60,0.72,0.62,0.38,0.63,0.617318336242717
3,BBag,0.89,0.62,0.59,0.71,0.61,0.37,0.6179,0.6062207140626384
3,EEC,0.89,0.61,0.60,0.70,0.60,0.36,0.6078,0.6026122462223422
3,RUSBOOST,0.89,0.62,0.58,0.71,0.60,0.36,0.6201,0.6006310726583853
4,BBag,0.88,0.62,0.61,0.71,0.62,0.38,0.6195,0.6156961373430809
4,EEC,0.88,0.62,0.59,0.70,0.60,0.37,0.6166,0.6042443754205669
4,RUSBOOST,0.88,0.62,0.59,0.71,0.60,0.37,0.6236,0.6051380907399646
