FOLD,ALGORITHM,PRE,REC,SPE,F1,GEO,IBA,ACC,AUC
0,BBag,0.98,0.71,0.78,0.82,0.75,0.55,0.7144,0.7458777147220864
0,EEC,0.98,0.69,0.81,0.80,0.75,0.55,0.6946,0.7505253907927053
0,RUSBOOST,0.98,0.72,0.74,0.82,0.73,0.53,0.7234,0.7298520014785846
1,BBag,0.97,0.72,0.68,0.82,0.70,0.49,0.7166,0.6998979118029164
1,EEC,0.97,0.69,0.71,0.80,0.70,0.49,0.6934,0.7010471455482157
1,RUSBOOST,0.97,0.73,0.67,0.83,0.70,0.49,0.7306,0.6992491421193897
2,BBag,0.98,0.72,0.71,0.82,0.71,0.51,0.7156,0.7127853950040032
2,EEC,0.98,0.70,0.72,0.81,0.71,0.50,0.6966,0.7092001535994217
2,RUSBOOST,0.98,0.74,0.65,0.83,0.69,0.48,0.7357,0.692644921807353
3,BBag,0.98,0.71,0.71,0.81,0.71,0.50,0.7086,0.7079692319900018
3,EEC,0.98,0.70,0.72,0.81,0.71,0.50,0.6951,0.7071025798708577
3,RUSBOOST,0.98,0.72,0.68,0.82,0.70,0.49,0.7216,0.6995878753012825
4,BBag,0.97,0.72,0.68,0.82,0.70,0.50,0.7242,0.7038870035193565
4,EEC,0.97,0.70,0.73,0.80,0.71,0.50,0.6957,0.7105093640020109
4,RUSBOOST,0.97,0.74,0.62,0.83,0.68,0.47,0.7414,0.6820834904474611
